;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
40;Apartamento;Centro;1;0;0;27;750.0;371.0;19.0
41;Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0
42;Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0
43;Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0
44;Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000.0;1600.0;
45;Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0
46;Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0
47;Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0
48;Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0
49;Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0
50;Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0
51;Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0
52;Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0
53;Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0
54;Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;
55;Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0
56;Casa;Méier;2;0;0;51;1500.0;50.0;
57;Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;
58;Apartamento;Barra da Tijuca;2;1;1;70;;970.0;68.0
59;Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0
60;Casa;São Conrado;4;2;4;730;28000.0;2000.0;12000.0
61;Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500.0;1200.0;
62;Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0
63;Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0
64;Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0
65;Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0
66;Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0
67;Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0
68;Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0
69;Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0
70;Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;
71;Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0
72;Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0
73;Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;
74;Quitinete;Centro;0;0;0;30;800.0;505.0;
75;Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;
76;Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0
77;Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0
78;Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0
79;Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0
80;Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0
81;Quitinete;Flamengo;0;0;0;28;1000.0;581.0;53.0
82;Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0
83;Apartamento;Praça Seca;2;0;0;80;1000.0;;
84;Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0
85;Casa de Vila;Piedade;2;1;0;70;1300.0;;
86;Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0
87;Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0
88;Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0
89;Apartamento;Olaria;2;1;0;53;1100.0;160.0;
90;Quitinete;Copacabana;1;0;0;29;1200.0;460.0;
91;Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0
92;Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0
93;Apartamento;Lagoa;3;1;2;250;13900.0;2500.0;
94;Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0
95;Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0
96;Apartamento;Ipanema;3;1;1;150;25000.0;1616.0;4255.0
97;Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0
98;Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0
99;Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0
100;Casa;Maracanã;8;3;5;259;7000.0;;
101;Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0
102;Apartamento;Catete;2;0;0;75;3350.0;455.0;
103;Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0
104;Casa;Benfica;1;0;0;33;1200.0;;
105;Quitinete;Glória;1;0;0;16;1400.0;300.0;210.0
106;Apartamento;Praça Seca;2;0;0;80;900.0;350.0;
107;Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0
108;Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0
109;Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0
110;Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0
111;Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0
112;Apartamento;Gávea;3;1;1;160;8000.0;2000.0;
113;Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0
114;Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0
115;Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0
116;Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0
117;Apartamento;Rocha Miranda;2;1;0;50;1100.0;;
118;Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0
119;Apartamento;Ipanema;2;0;2;52;10000.0;3689.0;393.0
120;Apartamento;Leblon;4;4;4;380;40000.0;4700.0;1500.0
121;Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0
122;Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0
123;Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0
124;Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0
125;Quitinete;Catete;0;0;0;20;700.0;500.0;28.0
126;Apartamento;Ipanema;4;6;1;700;65000.0;8860.0;5699.0
127;Apartamento;Méier;2;0;0;56;899.0;402.0;135.0
128;Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0
129;Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0
130;Apartamento;Copacabana;3;1;1;500;15000.0;2580.0;366.0
131;Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0
132;Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0
133;Apartamento;Barra da Tijuca;1;1;1;65;2350.0;;
134;Apartamento;Ipanema;3;3;1;220;22000.0;4000.0;1200.0
135;Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0
136;Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;
137;Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0
138;Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0
139;Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0
140;Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0
141;Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;
142;Apartamento;Barra da Tijuca;4;4;4;392;30000.0;7000.0;3000.0
143;Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;
144;Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0
145;Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;
146;Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0
147;Apartamento;Ipanema;3;2;1;200;15000.0;1500.0;572.0
148;Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;
149;Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0
150;Casa;Jardim Carioca;3;2;1;135;3000.0;;
151;Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0
152;Quitinete;Centro;0;0;0;28;700.0;400.0;16.0
153;Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0
154;Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;
155;Apartamento;Tijuca;1;0;0;65;1200.0;320.0;
156;Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0
157;Apartamento;Copacabana;4;1;2;210;13000.0;2200.0;650.0
158;Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;
159;Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0
160;Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;
161;Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0
162;Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0
163;Apartamento;São Conrado;4;4;4;510;25000.0;6600.0;
164;Apartamento;Tijuca;3;0;0;75;1800.0;350.0;
165;Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0
166;Casa;Lins de Vasconcelos;2;0;0;40;950.0;;50.0
167;Apartamento;Leblon;4;2;2;250;17500.0;4990.0;620.0
168;Apartamento;Copacabana;4;2;2;436;17000.0;3900.0;1000.0
169;Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;
170;Apartamento;Tijuca;2;1;1;71;1500.0;600.0;
171;Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0
172;Casa de Condomínio;Barra da Tijuca;4;2;4;595;30000.0;2500.0;2510.0
173;Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0
174;Casa de Condomínio;Recreio dos Bandeirantes;4;4;4;267;6500.0;700.0;3308.0
175;Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0
176;Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;
177;Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0
178;Apartamento;Cidade Nova;1;0;0;46;1000.0;;
179;Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0
180;Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0
181;Quitinete;Copacabana;1;0;0;23;1000.0;562.0;
182;Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;
183;Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0
184;Apartamento;Olaria;1;0;0;39;800.0;;
185;Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0
186;Apartamento;Campo Grande;2;0;0;60;800.0;380.0;
187;Apartamento;Ipanema;4;1;1;170;12000.0;1210.0;4222.0
188;Casa;Tijuca;4;1;1;191;4000.0;300.0;
189;Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0
190;Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0
191;Casa de Condomínio;São Conrado;3;2;1;250;5500.0;750.0;500.0
192;Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0
193;Apartamento;Leblon;3;0;1;85;8500.0;;1719.0
194;Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0
195;Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0
196;Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;
197;Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0
198;Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0
199;Apartamento;Taquara;2;2;0;55;790.0;350.0;
200;Quitinete;Centro;1;0;0;33;990.0;463.0;25.0
201;Apartamento;Copacabana;2;0;0;54;1800.0;590.0;
202;Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0
203;Apartamento;Copacabana;5;1;3;390;10000.0;1000.0;1000.0
204;Apartamento;Maracanã;2;1;0;53;1300.0;492.0;16.0
205;Apartamento;Tomás Coelho;2;0;0;70;800.0;;
206;Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0
207;Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0
208;Apartamento;Jacarepaguá;2;1;1;60;1200.0;524.0;13.0
209;Apartamento;Água Santa;2;1;0;50;850.0;280.0;12.0
210;Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0
211;Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0
212;Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0
213;Apartamento;Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0
214;Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;
215;Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;
216;Quitinete;Copacabana;1;0;0;26;1400.0;370.0;21.0
217;Casa de Condomínio;Barra da Tijuca;4;4;4;1000;30000.0;2695.0;23715.0
218;Apartamento;Ilha do Governador;3;1;0;83;1500.0;440.0;132.0
219;Apartamento;Olaria;2;0;0;90;1000.0;150.0;
220;Apartamento;Humaitá;1;0;0;57;3990.0;860.0;100.0
221;Apartamento;Maracanã;3;1;0;95;2500.0;600.0;80.0
222;Casa de Vila;Jardim Sulacap;2;1;2;115;1600.0;1.0;60.0
223;Apartamento;Leblon;4;2;2;200;11000.0;2900.0;580.0
224;Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;
225;Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0
226;Apartamento;Ipanema;3;2;1;165;7500.0;2200.0;532.0
227;Apartamento;Ipanema;3;2;2;160;6000.0;3500.0;4600.0
228;Apartamento;Flamengo;1;1;0;48;2100.0;580.0;70.0
229;Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0
230;Casa de Vila;Oswaldo Cruz;1;0;1;40;800.0;;
231;Apartamento;Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0
232;Casa de Condomínio;Freguesia (Jacarepaguá);2;1;0;163;1800.0;92.0;46.0
233;Quitinete;Copacabana;1;0;0;30;1300.0;370.0;30.0
234;Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0
235;Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;
236;Apartamento;Gávea;3;0;1;120;2700.0;880.0;238.0
237;Apartamento;Humaitá;2;2;1;112;4500.0;1300.0;
238;Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0
239;Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0
240;Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0
241;Apartamento;Engenho Novo;2;0;0;53;1400.0;460.0;12.0
242;Apartamento;Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;
243;Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;
244;Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0
245;Apartamento;Recreio dos Bandeirantes;4;2;2;200;3600.0;1177.0;320.0
246;Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0
247;Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0
248;Casa;Grajaú;5;4;2;450;7000.0;;500.0
249;Apartamento;Barra da Tijuca;4;2;2;149;4500.0;2130.0;
250;Apartamento;Recreio dos Bandeirantes;3;2;2;106;2500.0;780.0;248.0
251;Apartamento;Anil;2;1;0;48;1100.0;400.0;
252;Apartamento;Ipanema;4;1;2;250;12000.0;2300.0;1050.0
253;Apartamento;Gávea;2;1;1;68;2700.0;850.0;186.0
254;Apartamento;Barra da Tijuca;2;1;1;75;1400.0;1280.0;
255;Apartamento;Ipanema;2;1;1;97;7000.0;4000.0;4725.0
256;Casa de Condomínio;Vargem Grande;2;2;1;90;1700.0;618.0;338.0
257;Apartamento;Cachambi;3;0;0;70;900.0;200.0;30.0
258;Quitinete;Leblon;1;0;0;30;1700.0;560.0;62.0
259;Apartamento;Copacabana;4;2;1;279;3150.0;2025.0;370.0
260;Casa;Tanque;2;1;0;59;1200.0;170.0;
261;Apartamento;Laranjeiras;5;3;2;713;30000.0;3800.0;
262;Apartamento;Cachambi;2;1;0;70;950.0;530.0;30.0
263;Casa;Campo Grande;3;0;0;200;2100.0;;
264;Apartamento;Recreio dos Bandeirantes;4;2;1;400;3500.0;800.0;500.0
265;Apartamento;Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0
266;Apartamento;Maracanã;1;1;1;120;1000.0;985.0;150.0
267;Apartamento;Recreio dos Bandeirantes;4;3;2;181;3500.0;1080.0;423.0
268;Apartamento;Tijuca;2;1;1;70;1500.0;890.0;68.0
269;Casa de Condomínio;Barra da Tijuca;5;6;5;640;13800.0;980.0;1800.0
270;Apartamento;Vaz Lobo;2;0;0;70;1000.0;32.0;
271;Apartamento;Madureira;2;0;0;40;600.0;415.0;
272;Apartamento;Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;
273;Apartamento;Copacabana;2;1;1;81;2900.0;893.0;190.0
274;Casa;Bonsucesso;2;0;0;51;1000.0;;
275;Casa de Condomínio;Barra da Tijuca;5;3;5;1000;20000.0;1800.0;1800.0
276;Apartamento;Campo Grande;2;0;1;58;1000.0;;
277;Apartamento;Praça Seca;3;0;0;90;900.0;330.0;15.0
278;Apartamento;Vila Isabel;3;3;1;124;1700.0;1400.0;
279;Apartamento;Recreio dos Bandeirantes;5;3;4;430;6000.0;899.0;750.0
280;Apartamento;Ipanema;2;0;1;75;5200.0;476.0;120.0
281;Apartamento;São Conrado;5;2;3;400;13000.0;4165.0;689.0
282;Apartamento;Freguesia (Jacarepaguá);3;2;1;126;1500.0;1000.0;150.0
283;Apartamento;Laranjeiras;2;1;1;70;2300.0;620.0;190.0
284;Apartamento;Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0
285;Apartamento;Barra da Tijuca;4;3;4;192;5000.0;2200.0;562.0
286;Apartamento;Copacabana;1;0;0;43;1600.0;452.0;242.0
287;Apartamento;Barra da Tijuca;2;1;1;70;2200.0;780.0;
288;Apartamento;São Francisco Xavier;3;1;1;73;1200.0;520.0;
289;Apartamento;Copacabana;3;0;0;120;3000.0;1420.0;
290;Casa de Condomínio;Vargem Grande;5;4;5;300;5000.0;1500.0;250.0
291;Apartamento;Pechincha;2;1;0;64;800.0;248.0;14.0
292;Apartamento;Copacabana;1;0;0;45;2800.0;450.0;30.0
293;Apartamento;Laranjeiras;2;0;0;110;2500.0;968.0;167.0
294;Apartamento;Ipanema;4;3;3;433;37000.0;9800.0;
295;Apartamento;Flamengo;2;0;0;85;2700.0;800.0;1150.0
296;Apartamento;Leme;3;1;1;175;8000.0;1380.0;
297;Casa;Engenho Novo;2;0;0;70;1100.0;;
298;Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;
299;Apartamento;Humaitá;2;1;0;64;2500.0;520.0;
300;Apartamento;Copacabana;1;0;1;37;2500.0;447.0;20.0
301;Apartamento;Copacabana;4;2;2;240;10000.0;2000.0;700.0
302;Casa de Condomínio;Barra da Tijuca;4;3;2;188;6000.0;1022.0;
303;Apartamento;Barra da Tijuca;3;2;2;137;12500.0;1850.0;271.0
304;Apartamento;Barra da Tijuca;14;2;2;212;5000.0;1200.0;650.0
305;Apartamento;Irajá;2;1;0;65;1100.0;255.0;
306;Apartamento;Barra da Tijuca;2;2;1;105;3000.0;1500.0;
307;Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;
308;Apartamento;São Conrado;4;3;4;600;23000.0;16864.0;3910.0
309;Apartamento;Gávea;3;1;1;108;5000.0;1769.0;226.0
310;Apartamento;Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0
311;Apartamento;Catete;1;0;0;45;1600.0;500.0;55.0
312;Quitinete;Copacabana;1;0;0;15;1100.0;600.0;
313;Apartamento;Barra da Tijuca;3;2;3;160;7000.0;1087.0;455.0
314;Casa de Vila;Quintino Bocaiúva;2;1;0;48;750.0;;
315;Apartamento;Lagoa;3;2;1;130;5000.0;1000.0;300.0
316;Apartamento;Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0
317;Apartamento;Freguesia (Jacarepaguá);3;2;3;180;5500.0;1200.0;318.0
318;Apartamento;Copacabana;3;0;0;80;2500.0;800.0;157.0
319;Casa de Condomínio;Barra da Tijuca;3;0;2;367;6000.0;510.0;423.0
320;Apartamento;Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0
321;Casa;Jardim Botânico;2;4;1;107;9500.0;;1091.0
322;Apartamento;Barra da Tijuca;5;4;3;171;9000.0;2000.0;3500.0
323;Apartamento;Centro;1;0;0;42;2200.0;619.0;202.0
324;Apartamento;Méier;2;1;0;62;1000.0;600.0;38.0
325;Quitinete;Leblon;1;0;0;25;1950.0;360.0;58.0
326;Apartamento;Leblon;4;3;4;260;13500.0;3100.0;
327;Casa;Recreio dos Bandeirantes;4;4;2;367;12000.0;;653.0
328;Apartamento;Grajaú;2;0;0;65;1400.0;415.0;21.0
329;Apartamento;Lagoa;4;3;1;180;11000.0;2530.0;812.0
330;Apartamento;Copacabana;1;0;0;43;1800.0;639.0;76.0
331;Apartamento;Lagoa;2;1;1;80;2200.0;2600.0;420.0
332;Apartamento;Flamengo;2;1;0;57;2800.0;832.0;98.0
333;Apartamento;Campo Grande;3;1;1;98;1800.0;950.0;
334;Apartamento;Jardim Botânico;3;1;2;170;6000.0;860.0;540.0
335;Apartamento;Leblon;4;2;2;207;15500.0;6000.0;934.0
336;Apartamento;Barra da Tijuca;4;4;4;518;38000.0;5004.0;1747.0
337;Apartamento;Ipanema;1;0;1;50;2400.0;897.0;26.0
338;Quitinete;Copacabana;1;0;0;35;1700.0;400.0;55.0
339;Apartamento;Recreio dos Bandeirantes;3;2;1;150;2500.0;1012.0;
340;Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0
341;Apartamento;Recreio dos Bandeirantes;4;3;2;300;4500.0;1500.0;580.0
342;Apartamento;Recreio dos Bandeirantes;2;2;1;115;1900.0;661.0;
343;Casa de Vila;Jacarepaguá;3;1;0;100;2000.0;100.0;
344;Apartamento;Recreio dos Bandeirantes;3;3;1;110;1500.0;873.0;
345;Casa;Botafogo;12;5;0;500;18000.0;;1800.0
346;Apartamento;Barra da Tijuca;4;3;4;304;13000.0;3800.0;1350.0
347;Casa de Condomínio;Barra da Tijuca;4;2;4;280;8500.0;750.0;620.0
348;Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0
349;Apartamento;Ipanema;3;1;1;145;7200.0;2900.0;500.0
350;Casa;Catete;10;0;10;300;15000.0;;220.0
351;Apartamento;Urca;1;0;0;53;2800.0;770.0;
352;Apartamento;Ipanema;3;1;1;116;5000.0;1600.0;316.0
353;Apartamento;Tijuca;3;1;0;116;2000.0;790.0;194.0
354;Apartamento;Vila Isabel;3;0;0;82;1200.0;664.0;86.0
355;Quitinete;Glória;1;0;1;26;850.0;321.0;29.0
356;Apartamento;Barra da Tijuca;3;2;1;130;4800.0;1700.0;433.0
357;Apartamento;Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;
358;Apartamento;Flamengo;2;1;0;68;2000.0;536.0;148.0
359;Apartamento;Copacabana;1;0;0;60;2800.0;620.0;128.0
360;Apartamento;Taquara;2;1;0;53;1100.0;450.0;150.0
361;Apartamento;Penha;2;0;0;64;950.0;180.0;
362;Apartamento;Jardim Botânico;3;1;1;130;6400.0;1500.0;
363;Apartamento;Leblon;2;1;0;90;3500.0;1300.0;200.0
364;Apartamento;Leblon;4;2;4;200;8500.0;2710.0;945.0
365;Apartamento;Tijuca;1;1;1;84;2000.0;718.0;120.0
366;Quitinete;Gardênia Azul;1;0;0;20;485.0;;
367;Apartamento;Flamengo;1;0;0;30;1490.0;315.0;55.0
368;Casa;São Conrado;4;0;4;1200;25000.0;;
369;Apartamento;Maracanã;2;0;0;79;1700.0;600.0;
370;Apartamento;Copacabana;1;1;0;150;3000.0;1200.0;390.0
371;Apartamento;Barra da Tijuca;3;2;3;156;5500.0;2300.0;398.0
372;Apartamento;Flamengo;1;0;1;38;1450.0;690.0;55.0
373;Apartamento;Botafogo;2;0;0;115;2200.0;1045.0;190.0
374;Apartamento;Tijuca;2;0;0;49;1800.0;180.0;
375;Apartamento;Jacarepaguá;2;1;1;80;1900.0;1350.0;100.0
376;Apartamento;Copacabana;2;0;0;120;3800.0;1000.0;197.0
377;Apartamento;Barra da Tijuca;2;1;1;70;1800.0;681.0;120.0
378;Apartamento;Bonsucesso;3;1;0;98;2800.0;390.0;
379;Apartamento;Barra da Tijuca;2;1;1;70;3240.0;950.0;
380;Apartamento;Flamengo;2;1;0;90;3200.0;980.0;
381;Apartamento;Ipanema;2;0;0;99;3300.0;920.0;
382;Apartamento;Copacabana;3;1;0;80;3100.0;700.0;1208.0
383;Apartamento;Copacabana;2;1;0;74;2600.0;1021.0;
