Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0
Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0
Conjunto Comercial/Sala;Centro;0;1;0;70;1900.0;1080.0;251.0
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;50;4000.0;1160.0;200.0
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0
Loja/Salão;Copacabana;0;0;0;34;2000.0;735.0;0.0
Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000.0;1600.0;0.0
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;0;0;84;1500.0;1546.0;0.0
Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0
Conjunto Comercial/Sala;Méier;0;0;0;32;700.0;380.0;56.0
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0
Conjunto Comercial/Sala;Centro;0;0;0;1;2850.0;2050.0;0.0
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0
Casa;Méier;2;0;0;51;1500.0;50.0;0.0
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;33;700.0;1010.0;56.0
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;24;2500.0;682.0;112.0
Galpão/Depósito/Armazém;Vargem Grande;0;6;0;2236;40000.0;0.0;0.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;850.0;719.0;0.0
Casa;São Conrado;4;2;4;730;28000.0;2000.0;12000.0
Casa Comercial;Botafogo;0;0;0;140;7000.0;0.0;137.0
Galpão/Depósito/Armazém;Maria da Graça;0;3;0;1000;9800.0;0.0;820.0
Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500.0;1200.0;0.0
Conjunto Comercial/Sala;Centro;0;1;0;390;25397.0;12090.0;1318.0
Conjunto Comercial/Sala;Centro;0;0;0;320;12000.0;3740.0;1541.0
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0
Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0
Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0
Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0
Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0
Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;0.0
Quitinete;Centro;0;0;0;30;800.0;505.0;0.0
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0
Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0
Loja/Salão;Barra da Tijuca;0;0;0;36;5300.0;2114.0;839.0
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0
Conjunto Comercial/Sala;Centro;0;0;0;95;3800.0;1688.0;392.0
Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0
Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0
Conjunto Comercial/Sala;Centro;0;0;0;310;17050.0;5950.0;1917.0
Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0
Quitinete;Flamengo;0;0;0;28;1000.0;581.0;53.0
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;145;9000.0;6400.0;0.0
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0
Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;142;4000.0;5024.0;12415.0
Conjunto Comercial/Sala;Botafogo;0;3;0;241;22000.0;9384.0;0.0
Casa de Vila;Piedade;2;1;0;70;1300.0;0.0;0.0
Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0
Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0
Galpão/Depósito/Armazém;Bonsucesso;0;10;0;13010;100000.0;0.0;12000.0
Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0
Apartamento;Olaria;2;1;0;53;1100.0;160.0;0.0
Quitinete;Copacabana;1;0;0;29;1200.0;460.0;0.0
Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0
Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0
Apartamento;Lagoa;3;1;2;250;13900.0;2500.0;0.0
Conjunto Comercial/Sala;Centro;0;0;0;40;1500.0;637.0;84.0
Conjunto Comercial/Sala;Centro;0;0;0;48;1400.0;729.0;157.0
Conjunto Comercial/Sala;Santo Cristo;0;64;0;4800;312000.0;92000.0;0.0
Conjunto Comercial/Sala;Largo do Machado;0;0;0;30;800.0;592.0;162.0
Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0
Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0
Apartamento;Ipanema;3;1;1;150;25000.0;1616.0;4255.0
Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0
Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0
Conjunto Comercial/Sala;Centro;0;0;0;55;900.0;1240.0;240.0
Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0
Casa;Maracanã;8;3;5;259;7000.0;0.0;0.0
Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0
Apartamento;Catete;2;0;0;75;3350.0;455.0;0.0
Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0
Casa;Benfica;1;0;0;33;1200.0;0.0;0.0
Quitinete;Glória;1;0;0;16;1400.0;300.0;210.0
Conjunto Comercial/Sala;Centro;0;0;0;212;13000.0;4700.0;1350.0
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;490.0;450.0;525.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;20;445.0;791.0;1041.0
Apartamento;Praça Seca;2;0;0;80;900.0;350.0;0.0
Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0
Galpão/Depósito/Armazém;Quintino Bocaiúva;0;0;0;550;4300.0;0.0;0.0
Conjunto Comercial/Sala;Campo Grande;0;0;0;20;800.0;0.0;0.0
Conjunto Comercial/Sala;São Francisco Xavier;0;1;0;27;1500.0;580.0;0.0
Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0
Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0
Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;1300.0;935.0;217.0
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;28;800.0;550.0;0.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;45;1600.0;1100.0;350.0
Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0
Terreno Padrão;Barra da Tijuca;0;0;0;1110;140000.0;0.0;0.0
Apartamento;Gávea;3;1;1;160;8000.0;2000.0;0.0
Conjunto Comercial/Sala;Centro;0;0;0;154;3900.0;5100.0;559.0
Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0
Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0
Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0
Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;21;1200.0;588.0;0.0
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;500.0;600.0;85.0
Apartamento;Ipanema;2;0;2;52;10000.0;3689.0;393.0
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;48;2000.0;1064.0;0.0
Loja/Salão;Barra da Tijuca;0;1;0;120;4000.0;1400.0;1500.0
Apartamento;Leblon;4;4;4;380;40000.0;4700.0;1500.0
Conjunto Comercial/Sala;Centro;0;0;0;35;1000.0;322.0;33.0
Conjunto Comercial/Sala;Tijuca;0;1;0;20;1000.0;690.0;58.0
Loja/Salão;Barra da Tijuca;0;1;0;50;4500.0;1172.0;1327.0
Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0
Conjunto Comercial/Sala;Centro;0;0;0;120;3000.0;1380.0;509.0
Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0
Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;8;0;380;18000.0;5276.0;1851.0
Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0
Quitinete;Catete;0;0;0;20;700.0;500.0;28.0
Apartamento;Ipanema;4;6;1;700;65000.0;8860.0;5699.0
Apartamento;Méier;2;0;0;56;899.0;402.0;135.0
Conjunto Comercial/Sala;Centro;0;0;0;270;7000.0;2800.0;1249.0
Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0
Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0
Apartamento;Copacabana;3;1;1;500;15000.0;2580.0;366.0
Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0
Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;24;700.0;628.0;1120.0
Conjunto Comercial/Sala;Tijuca;0;0;0;21;1000.0;520.0;116.0
Apartamento;Ipanema;3;3;1;220;22000.0;4000.0;1200.0
Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0
Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0
Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0
Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0
Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0
Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0
Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0
Apartamento;Barra da Tijuca;4;4;4;392;30000.0;7000.0;3000.0
Casa Comercial;Botafogo;0;0;0;220;16000.0;0.0;0.0
Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;0.0
Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0
Box/Garagem;Tijuca;0;0;0;0;380.0;0.0;0.0
Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0
Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0
Flat;Copacabana;1;1;0;63;3600.0;1215.0;0.0
Flat;Leblon;1;0;1;50;4500.0;1300.0;150.0
Apartamento;Ipanema;3;2;1;200;15000.0;1500.0;572.0
Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;0.0
Loja/Salão;Maracanã;0;0;0;85;6500.0;0.0;385.0
Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0
Casa;Jardim Carioca;3;2;1;135;3000.0;0.0;0.0
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;58;2100.0;495.0;140.0
Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0
Conjunto Comercial/Sala;Copacabana;0;2;0;210;25200.0;6300.0;1890.0
Quitinete;Centro;0;0;0;28;700.0;400.0;16.0
Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0
Conjunto Comercial/Sala;Tijuca;0;1;0;32;900.0;450.0;0.0
Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0
Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0
Apartamento;Copacabana;4;1;2;210;13000.0;2200.0;650.0
Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;0.0
Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0
Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;0.0
Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;24;650.0;530.0;170.0
Apartamento;São Conrado;4;4;4;510;25000.0;6600.0;0.0
Apartamento;Tijuca;3;0;0;75;1800.0;350.0;0.0
Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0
Casa;Lins de Vasconcelos;2;0;0;40;950.0;0.0;50.0
Apartamento;Leblon;4;2;2;250;17500.0;4990.0;620.0
Conjunto Comercial/Sala;Botafogo;0;8;0;463;92600.0;11843.0;14355.0
Conjunto Comercial/Sala;Centro;0;0;0;190;4500.0;886.0;0.0
Conjunto Comercial/Sala;Centro;0;0;0;185;3000.0;10046.0;462.0
Conjunto Comercial/Sala;Centro;0;4;0;230;7000.0;3130.0;1202.0
Conjunto Comercial/Sala;Centro;0;0;0;55;1760.0;1420.0;0.0
Apartamento;Copacabana;4;2;2;436;17000.0;3900.0;1000.0
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;80;2800.0;560.0;0.0
Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;0.0
Apartamento;Tijuca;2;1;1;71;1500.0;600.0;0.0
Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0
Casa de Condomínio;Barra da Tijuca;4;2;4;595;30000.0;2500.0;2510.0
Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0
Loja/Salão;Copacabana;0;0;0;13;1500.0;520.0;95.0
Loja/Salão;Barra da Tijuca;0;1;0;95;15000.0;1800.0;1000.0
Conjunto Comercial/Sala;Centro;0;0;0;150;4000.0;2000.0;700.0
Casa de Condomínio;Recreio dos Bandeirantes;4;4;4;267;6500.0;700.0;3308.0
Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;25;1000.0;450.0;0.0
Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;0.0
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0
Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0
Loja/Salão;Barra da Tijuca;0;1;0;50;1100.0;1338.0;0.0
Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0
Quitinete;Copacabana;1;0;0;23;1000.0;562.0;0.0
Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;0.0
Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0
Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0
Apartamento;Campo Grande;2;0;0;60;800.0;380.0;0.0
Apartamento;Ipanema;4;1;1;170;12000.0;1210.0;4222.0
Casa;Tijuca;4;1;1;191;4000.0;300.0;0.0
Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0
Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0
Casa de Condomínio;São Conrado;3;2;1;250;5500.0;750.0;500.0
Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0
Loja/Salão;Barra da Tijuca;0;8;0;500;38000.0;0.0;4971.0
Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0
Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0
Conjunto Comercial/Sala;Centro;0;0;0;100;2800.0;1500.0;490.0
Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0
Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0
Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0
Conjunto Comercial/Sala;Cidade Nova;0;20;0;2160;129600.0;60480.0;0.0
Apartamento;Taquara;2;2;0;55;790.0;350.0;0.0
Quitinete;Centro;1;0;0;33;990.0;463.0;25.0
Apartamento;Copacabana;2;0;0;54;1800.0;590.0;0.0
Conjunto Comercial/Sala;Centro;0;10;0;1136;136370.0;22728.0;5682.0
Casa Comercial;Glória;0;0;0;139;16740.0;1953.0;139.0
Flat;Arpoador;1;1;1;55;3000.0;1865.0;337.0
Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0
Apartamento;Copacabana;5;1;3;390;10000.0;1000.0;1000.0
Apartamento;Maracanã;2;1;0;53;1300.0;492.0;16.0
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0
Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0
Apartamento;Jacarepaguá;2;1;1;60;1200.0;524.0;13.0
Apartamento;Água Santa;2;1;0;50;850.0;280.0;12.0
Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0
Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0
Apartamento;Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0
Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0
Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;0.0
Quitinete;Copacabana;1;0;0;26;1400.0;370.0;21.0
Loja/Salão;Recreio dos Bandeirantes;0;2;0;140;3990.0;1410.0;968.0
Prédio Inteiro;Campo Grande;0;0;0;650;35000.0;0.0;0.0
Casa de Condomínio;Barra da Tijuca;4;4;4;1000;30000.0;2695.0;23715.0
Conjunto Comercial/Sala;Centro;0;0;0;120;3000.0;1380.0;507.0
Apartamento;Ilha do Governador;3;1;0;83;1500.0;440.0;132.0
Apartamento;Olaria;2;0;0;90;1000.0;150.0;0.0
Apartamento;Humaitá;1;0;0;57;3990.0;860.0;100.0
Apartamento;Maracanã;3;1;0;95;2500.0;600.0;80.0
Casa de Vila;Jardim Sulacap;2;1;2;115;1600.0;1.0;60.0
Apartamento;Leblon;4;2;2;200;11000.0;2900.0;580.0
Loja/Salão;Del Castilho;0;0;0;85;6500.0;0.0;398.0
Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0
Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0
Apartamento;Ipanema;3;2;1;165;7500.0;2200.0;532.0
Galpão/Depósito/Armazém;Santo Cristo;0;0;0;1096;12000.0;0.0;1771.0
Conjunto Comercial/Sala;Centro;0;0;0;145;3800.0;1400.0;413.0
Apartamento;Ipanema;3;2;2;160;6000.0;3500.0;4600.0
Conjunto Comercial/Sala;Flamengo;0;0;0;32;1300.0;400.0;0.0
Apartamento;Flamengo;1;1;0;48;2100.0;580.0;70.0
Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0
Casa de Vila;Oswaldo Cruz;1;0;1;40;800.0;0.0;0.0
Apartamento;Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0
Galpão/Depósito/Armazém;Bonsucesso;0;3;0;404;15000.0;0.0;370.0
Casa de Condomínio;Freguesia (Jacarepaguá);2;1;0;163;1800.0;92.0;46.0
Conjunto Comercial/Sala;Centro;0;0;0;87;3000.0;764.0;134.0
Quitinete;Copacabana;1;0;0;30;1300.0;370.0;30.0
Conjunto Comercial/Sala;Barra da Tijuca;0;9;0;190;10000.0;5503.0;1250.0
Conjunto Comercial/Sala;Leblon;0;0;0;6;900.0;0.0;0.0
Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0
Conjunto Comercial/Sala;Centro;0;0;0;375;18750.0;6340.0;2349.0
Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;0.0
Apartamento;Gávea;3;0;1;120;2700.0;880.0;238.0
Apartamento;Humaitá;2;2;1;112;4500.0;1300.0;0.0
Conjunto Comercial/Sala;Centro;0;0;0;34;1000.0;729.0;0.0
Conjunto Comercial/Sala;Centro;0;0;0;48;4500.0;885.0;380.0
Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0
Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;80;5000.0;1100.0;3000.0
Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0
Conjunto Comercial/Sala;Leblon;0;0;0;120;20000.0;2400.0;616.0
Prédio Inteiro;São Cristóvão;0;0;0;1408;24000.0;0.0;0.0
Apartamento;Engenho Novo;2;0;0;53;1400.0;460.0;12.0
Apartamento;Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;0.0
Loft;Barra da Tijuca;1;1;1;78;2700.0;1370.0;188.0
Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;0.0
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0
Galpão/Depósito/Armazém;Campo Grande;0;3;0;300;6000.0;0.0;0.0
Apartamento;Recreio dos Bandeirantes;4;2;2;200;3600.0;1177.0;320.0
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;23;900.0;500.0;0.0
Galpão/Depósito/Armazém;Campo Grande;0;0;0;1000;8000.0;0.0;0.0
Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0
Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0
Conjunto Comercial/Sala;Centro;0;0;0;22;800.0;264.0;83.0
Casa;Grajaú;5;4;2;450;7000.0;0.0;500.0
Apartamento;Barra da Tijuca;4;2;2;149;4500.0;2130.0;0.0
Apartamento;Recreio dos Bandeirantes;3;2;2;106;2500.0;780.0;248.0
Conjunto Comercial/Sala;Botafogo;0;10;0;534;45000.0;14850.0;0.0
Apartamento;Anil;2;1;0;48;1100.0;400.0;0.0
Apartamento;Ipanema;4;1;2;250;12000.0;2300.0;1050.0
Apartamento;Gávea;2;1;1;68;2700.0;850.0;186.0
Apartamento;Barra da Tijuca;2;1;1;75;1400.0;1280.0;0.0
Loja/Salão;Vila Valqueire;0;0;0;30;1100.0;0.0;0.0
Apartamento;Ipanema;2;1;1;97;7000.0;4000.0;4725.0
Casa de Condomínio;Vargem Grande;2;2;1;90;1700.0;618.0;338.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;72;2200.0;835.0;595.0
Apartamento;Cachambi;3;0;0;70;900.0;200.0;30.0
Quitinete;Leblon;1;0;0;30;1700.0;560.0;62.0
Apartamento;Copacabana;4;2;1;279;3150.0;2025.0;370.0
Casa;Tanque;2;1;0;59;1200.0;170.0;0.0
Box/Garagem;Centro;0;1;0;0;250.0;0.0;85.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;50;1600.0;870.0;406.0
Apartamento;Laranjeiras;5;3;2;713;30000.0;3800.0;0.0
Conjunto Comercial/Sala;Botafogo;0;28;0;1510;211400.0;50902.0;8138.0
Apartamento;Cachambi;2;1;0;70;950.0;530.0;30.0
Casa;Campo Grande;3;0;0;200;2100.0;0.0;0.0
Conjunto Comercial/Sala;Centro;0;0;0;254;10000.0;5600.0;0.0
Conjunto Comercial/Sala;Centro;0;0;0;24;600.0;386.0;119.0
Apartamento;Recreio dos Bandeirantes;4;2;1;400;3500.0;800.0;500.0
Conjunto Comercial/Sala;Centro;0;0;0;250;8000.0;4790.0;1160.0
